path,sha256,bytes
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__learning.csv,950e727e3d8090024824b75c1e32ebaa4892ed997a2ea704948f242b8afa690b,1408896
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__null.csv,7af436f7745911fa42455c8e92da4136861a0452c3bbf778d3b8fd3150c33aab,3794190
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__prototypes.npz,ce380a41376aee02bb8a8eec6eee2c1dffc9ce8b9a27ede7d3674cf4bf8e0b18,1001522
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__relation.csv,e9a47cd0f7811854f189a899c17fca15d11c18d3773c77af0e97318d93612ef4,42122
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__residual.csv,47a3af1066c137e6c2d3b69ca856b230a27dbe4f28ea2d17571c9a2c969b7344,90002
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__complete.json,51600a09048a0e0c5fd2c75bdd96a5878c270c0c57178c98150395dcbe0d1de2,329
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__control.csv,db5cd0a13e5c623ea7e8608f52a9af9849c8a259a6ed1c0d4caa925a7e624671,2709682
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__coverage.csv,601bc7fbc5b0193fc3e29b99442da544aecf8316f4aa4605556e80fdd96da595,554
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__edge.csv,afb0c160e754fdbcf315496931f21bc13bdc51c0e4168afffab4169ea80116ca,2803576
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__forward.csv,7475de676069486bbfd34a654f8f906722a2e0f0e24876e473283d1a962c14f5,725616
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__inverse.csv,ba14334cf0af3c82d639897e83a9dbc0606eb96502aeeadac6f646867ce55b59,883731
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__learning.csv,9eb9594ca1a19bc5928f4ef9ec5d16a87eb31deb64981ec6e271201548cfd70a,1338501
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__null.csv,7a9017f2ee990e659b3974e2a30c5526e3e1f917e6a6c0acf282ecc4951aeab0,3626034
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__prototypes.npz,7fb809638d32bb4bfcdfda854e7376f4dfa5dbc7f560f58f3c24a61a43944932,1049353
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__relation.csv,bf69b1bbad71873db0d2992236bf5ee9e6e0bd11fdd79ebe5441dd8d7768a592,43241
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__zh_char__centered_sensitivity__residual.csv,5aa5ee812153537f07ce8e8882942e6b454e6704784151e8c9cfde5c769f8a97,87207
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__complete.json,9b00b7eb4acf54c2e17fa19a31979029b35dc2eb3b55cfd31f2ef248e8f85658,342
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__control.csv,d156c5d7761c409835c90e3d25effb8a83655001957e47f8e877009078dedc12,1719676
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__coverage.csv,a00bb2fbbaa6a609007abe4753c5644589ec8106f5e26549182e4aad3ae91732,565
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__edge.csv,3f9c1401f2217f808736e7ac7809416cdf09be4f75014cd585cb1b558f8967da,1665055
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__forward.csv,1d097957af93076d949da06c01dffd64a8b0c9dd15de81535585af981a30627a,439916
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__inverse.csv,223fd4834ad706917b9f6c3218f5fb2aac6f5a41f2cbfdecf8dcc260c90bd72f,543602
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__learning.csv,94e16ecb1e77d10e29ed6b3f5aa29e27b68e2513ac1c922e1330d2019123367e,1261989
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__null.csv,33c30f31dc555367261344248aeb5eac4540741f1050ec81900e86d2b3bbd93a,3429367
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__prototypes.npz,f7c67bf58d13df1bd8e538e330b5148fc30d3964e1d5f15818269125371c6ae1,681913
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__relation.csv,f133d3c37e9497aef5a0d9a2a491ad8645ec8219734aa66d1e35b629ff3ae5a8,37856
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__cn_def__centered_sensitivity__residual.csv,ec98f2b3dd4e861c3ab65a06e51e79045572c79e30b529856f9117ab3b7f1dae,74834
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__complete.json,0607471ffc597a2ee2a8fb55798368be6f257bc71dabfec80ae1159894fdcae8,359
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__control.csv,62b660d93c6a6e61dad07cfa85370ffa5b390c4882662ad99043b25bb9ca9736,1986643
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__coverage.csv,26cd6d5edf1b3c9891a253e4e6d4f79d76f704c12f494e1d1ef762cc5a264988,583
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__edge.csv,38133cb82cac5874670f9905750dbb1ecd674b11cb6e86c4d4947c45526acb5e,1722707
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__forward.csv,f436d22bba32ca57a47f0ab9fd55312348fc9471b40b62021164ee62db01b65c,493332
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__inverse.csv,f7a235db4a2c37d01c539ffeb5039803d5e2957a5c147eeb84c5ae3a50afa570,597756
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__learning.csv,dabde559cdc088c46cb5faf0a0bdc4d4ce8d3699782ac6698768e12773f90fed,1502122
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__null.csv,593e07027694ecc5b6d05fcecf2827b49c1955b3ce90becdccfe4ade9462eae8,3943037
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__prototypes.npz,3de6ea43669d8d0362fcd47a014528615e5576283f31c68f8c8cb3f583496344,682001
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__relation.csv,1a6f2571020f940534f820cad4dd42b7aae25e403b8cd5abc29e84dde6359adc,42176
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_def_translated_cn_def__centered_sensitivity__residual.csv,238cbc8f1a9f1543eb2915cf0a790c52db221f2628ee388845a5033f03f389e1,83843
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__complete.json,be9779433190a52bd770878fb78bbd6f8ba66ae671858248863fa4b845918675,351
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__control.csv,f124578e10456720120202c99c09e8900b1b52457685efd73fa68f2adaed7d51,2925746
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__coverage.csv,d8d8f87e95141bfa5727f4c0e1a7e5f86c96850005f552a39ce2b80fc5d20e71,575
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__edge.csv,86cf5039a61ac61fa3afee9d332eafb5031e538096905fd4c4cdf8195c790c37,2619072
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__forward.csv,ab1ed13aba083be0b0c0b979788615447bbca7a071e5d0dbdca63fec2d4bdc1c,735928
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__inverse.csv,50ade5360ad685de8b016022d28f39e12dd61e74c8b9cd5a963def060f965fde,897434
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__learning.csv,be0328e7235e208562c3fc8b014ce09882c83d1599bbecd3a29401778b90a448,1627125
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__null.csv,a6e73d70e6fddae8fedd3662f37d90786756b0d1633ca658139336dfed57dc19,4255958
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__prototypes.npz,fea51203f8d6c7c39e20829a4a8548f4e3197dfa2d19e75248ff9f699d141d44,752257
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__relation.csv,ee8e09144394f7724919b49e11e96536c42ca6c24947ad4bce9ceefafacba1f1,45776
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__en_gloss_unihan__centered_sensitivity__residual.csv,5a7aa00a521166333b5b49c9aaacb0f9676a749694e0cd1e3bdf4ba7c6886c3e,98785
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__complete.json,925b63ca7b1cf30de9bb9be5f4f33caeb197f2f46b59d22f80687c09e0c31f8c,343
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__control.csv,57d386de1397f49fe30a13e40f8648b58b4f1375b535ccccb0c6de6c668815ea,3077129
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__coverage.csv,7d12e7328bde6f34063bee01fc9ac33210e5093fe07af7698d1ac7230dfe6ec9,568
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__edge.csv,bbff10d668fd8dd825241fd789f360bf55a64b4312a49e980b785ff4b9f30338,2881047
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__forward.csv,a628031f81fa22b1f7ca680e932cde53ba621d9e8af0828e8d7090dd0e351371,798642
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__inverse.csv,563eeade52ae6c2d0df77306bc27c5d853abd9126e3afef7e4e6190d683e8de3,957049
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__learning.csv,8b1fd171ea225ffbe43e325fb288f97233bfb5ae0b02d37a84ddd3be5b6ad4ff,1567626
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__null.csv,450c29e65b0c759cf9099fd4a525d2a45f5e98266356b041f8fb6a90a6ce39d6,4096799
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__prototypes.npz,3d02eda013ec75d7be4273b83595e47e6a300ec809bd8f215754feac1936b72d,788268
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__relation.csv,ba9069071e9e278ab58565d1affc35942cf8e3c0ce16355e86e3ae6e30fe03fe,46906
Centered_Sensitivity_C2_v1/checkpoints/gte_multilingual_base_768d__zh_char__centered_sensitivity__residual.csv,7f3d74983d82605047afe979635e70f0996b1433532ada3eef1fe3a110461681,96446
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__complete.json,ac7e2306e997e2c6a268be67bcfbaca5002b40321dcf2465c5b4347fc66b78f7,331
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__control.csv,f3dce377d0058e4d2e0d9924a6183c7f4da487afafc648b95af801405d523d61,1571445
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__coverage.csv,71fe8dfb675711e79c5592a9651816ccee1eb602e945b6a0967ba1cdd9fc4e5c,555
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__edge.csv,160845292df0c4945563b78a96cf06d00f5c94b95860aa3c5c0e320b12ba819c,1632499
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__forward.csv,d81ded701a5e5ec2c117885887e74186f43355af86f8437305b14ba46000e859,409933
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__inverse.csv,f7a91bcbad1e2c4f682e87fc21374d2513b260bb11337e183f5a98b4318cf2b6,514161
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__learning.csv,b5562e7f9221aab430cafd82f7a1211401a98e4b4ba63da920386ae44e76533d,1128846
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__null.csv,9408584e5ac9e4ee544660a805ad3bb3b0ebf7147c141bf8c7547e961011a625,3143873
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__prototypes.npz,fe7aa2010f434f365f0b19f2f837d6512fb8c70c439e46372a63a4864c013f55,708095
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__relation.csv,e8c02e89994c1f1aa8362f588f722b0ffd775a910ef37912bba0327a0e8d5602,35504
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__cn_def__centered_sensitivity__residual.csv,6b8ca834fb57f58dd66ca6c6863c5acdeed4e80d543d02228afcfe8bced7122f,69826
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__complete.json,307b500a4413158e00e2a7c40e84322f065d02135a2ea809a417eee29ce1872a,349
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__control.csv,99e6c98b3b993714ade81c41a15bea34e8a85c892e0879bdeb53f29b13572711,1838133
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__coverage.csv,4e3cfe4537d9e434d2c7cca01482dfe45f852d0f3d9111336ada0dabd3017d2e,573
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__edge.csv,bedf9af52e7ff5b6f68512746edf6f232017c5d56e855b05f911acd3a4944655,1689417
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__forward.csv,24f6044868ea0808348f2e2da7e03b491a9fcb3c4251a7da9fb57fe942253424,463830
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__inverse.csv,03f19792978fa7041cd21a7f4834ddabd3619b0caaa79c8d8629ef4112519067,567935
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__learning.csv,888d27b696c9a272ac337ba3dd5baf523681491e74772fb196d7dbbfd10575e0,1368666
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__null.csv,115e374a9bec59d893d741876edf76f92ab133e26b4a775ac644f1b7f67085f5,3656791
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__prototypes.npz,1380be293e333977bbf0e3830db4d0e57f7cbaeaa80a94ae6d93e1c73913c8ef,707418
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__relation.csv,53a3685907a0f779398d2d4897992f2278402159f099a189986081d11e715f78,39820
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_def_translated_cn_def__centered_sensitivity__residual.csv,e19e4c27185e42f04392b539fac3bd0fa8df5aa2efa41d5cea5e9c845df9db6d,78905
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__complete.json,14f9c78aea8046ede1a8d5459880523b7811c4db2ecb72c95c0b2210e596c258,341
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__control.csv,524b12dcb1723cf22620dde82898cbe5b47635c7b02b93078e0457061bd50891,2692474
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__coverage.csv,a905d41f6cc5e914ff92f016525d75034cea4fcdb4f43be19b89b54af1378fcd,565
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__edge.csv,7f994a9ba7ca76047822caf1f02e9dfbc3a50658b186e6bc349ef04c65ea6068,2566167
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__forward.csv,23ba5f2acde461dc3e1f037ff5b43bf2292fb7e2e5b4c61a4ab1f6e656825118,689194
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__inverse.csv,dda726f3fd7530c4f3825eb16e4230783c8abaddc768e038bee14e2a61ed1da4,850415
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__learning.csv,455895d0000b698d95e91cd7affc8a194b4f5963ff5ebb09ea2f449b4deaed8f,1470777
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__null.csv,70778d1749dd04e9cd399f0cf7dd639c11cbb7cdfad36007af74070ce152c924,3924470
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__prototypes.npz,c5e110f5c95114915407b1f9d138500ab24ecb75d8f1e47a083a529ee3039e57,791538
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__relation.csv,97f1b6a0ed2865ce6df1c479c96e4dc2c04a4d88c3a40ef207fa5bef94dae1ec,42842
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__en_gloss_unihan__centered_sensitivity__residual.csv,855d9899485d6e9786e8e7722b85d4602abbc9f10171dc67ef5f010735259001,92387
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__complete.json,a21686b740eee65947d24255d57b70398347a0b44d264e70ddc80f77be93ff0c,333
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__control.csv,fa5e293ea4d6ff8ef6697c452038ffd5244ffcfd6907a6c978a51db6d010e3e5,2823542
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__coverage.csv,ed30b24aff00e11b3e403f2039b5bd231913e732cbc84aec348162069f962abf,558
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__edge.csv,98971a0a72c8ca7564f951ca449b007668a464613163216be2317461b4a81bf0,2831928
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__forward.csv,6ce7280091eed7fe83063b12f9217521ea204c76c177fdc3d471a8525fa16199,744533
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__inverse.csv,21af91239361e8a154e262f16b3884ad39b147b0b3cb65f0138e650b789c3bb4,909768
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__learning.csv,52904977d103b7735b5052b632dc1d1d6ed79694f9d24c739762ae24abfee64e,1418660
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__null.csv,c9e43feb0880b635668698d1f4e8fb8a18d9c0f79bd8158470ad1a413fa42b9b,3766181
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__prototypes.npz,8acc2229e727ca980b675d0345a153d11ac4e097861f2ff9f0dd9c62216eb91d,833641
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__relation.csv,c41941d7b0f62c613dfd5a000908ea5741a97df172170b3ac5dd411989e21e9a,44257
Centered_Sensitivity_C2_v1/checkpoints/qwen3_0.6b_1024d__zh_char__centered_sensitivity__residual.csv,62c65026723f10608dcf568acb02516af419d3cf403e3a3a4be9c27ccd25d056,90216
Centered_Sensitivity_C2_v1/checkpoints/qwen3_4b_2560d_int8__cn_def__centered_sensitivity__complete.json,16f79e53997382e7694bf58f35249ee7cba60d92de3e775ff1e50a8a40c2d96e,334
