model,channel,edge_row,C,P,S,anchor_family,other_training_family_count,baseline_predicted_P,baseline_rank_true_P,baseline_top1_correct,baseline_top5_correct,baseline_top10_correct,candidate_anchor_count,offset_predicted_P,offset_rank_true_P,true_P_offset_top1,true_P_offset_top5,true_P_offset_top10,rank_change,top1_rescued,top1_lost,true_anchor_rank,baseline_cosine,adjusted_cosine,residual_improvement_over_raw_cosine
bge_m3_1024d,cn_def,261,頦,亥,頁,ROOT-4EA5,27,面,741,0,0,0,1053,面,782,0,0,0,-41,0,0,782,0.4743872,0.4858643114566803,0.0114771127700805
bge_m3_1024d,cn_def,262,駭,亥,馬,ROOT-4EA5,34,畏,975,0,0,0,1053,畏,955,0,0,0,20,0,0,955,0.4378057,0.4375800788402557,-0.0002256333827972
bge_m3_1024d,cn_def,263,骸,亥,骨,ROOT-4EA5,5,品,809,0,0,0,1053,扇,634,0,0,0,175,0,0,634,0.4718535,0.5515051484107971,0.079651653766632
bge_m3_1024d,cn_def,398,完,元,宀,ROOT-5143,19,完,94,0,0,0,1053,完,32,0,0,0,62,0,0,32,0.68281287,0.6714171767234802,-0.0113956928253173
bge_m3_1024d,cn_def,404,沅,元,氵,ROOT-5143,185,沮,421,0,0,0,1053,沮,218,0,0,0,203,0,0,218,0.52331746,0.5895649194717407,0.0662474632263183
bge_m3_1024d,cn_def,405,玩,元,王,ROOT-5143,44,敖,641,0,0,0,1053,敖,507,0,0,0,134,0,0,507,0.53831965,0.5475590825080872,0.0092394351959228
bge_m3_1024d,cn_def,407,阮,元,阝,ROOT-5143,47,潘,368,0,0,0,1053,任,256,0,0,0,112,0,0,256,0.58066326,0.6170592308044434,0.0363959670066833
bge_m3_1024d,cn_def,408,頑,元,頁,ROOT-5143,27,堅,329,0,0,0,1053,堅,368,0,0,0,-39,0,0,368,0.5677726,0.5308822393417358,-0.0368903875350952
bge_m3_1024d,cn_def,433,偈,曷,亻,ROOT-5303,126,敏,775,0,0,0,1053,敏,783,0,0,0,-8,0,0,783,0.48741448,0.4842194318771362,-0.00319504737854
bge_m3_1024d,cn_def,434,喝,曷,口,ROOT-5303,113,舀,790,0,0,0,1053,湯,784,0,0,0,6,0,0,784,0.46331343,0.4793881475925445,0.0160747170448303
bge_m3_1024d,cn_def,435,愒,曷,忄,ROOT-5303,79,需,873,0,0,0,1053,需,818,0,0,0,55,0,0,818,0.47201577,0.4994357228279114,0.0274199545383453
bge_m3_1024d,cn_def,436,揭,曷,扌,ROOT-5303,138,陟,803,0,0,0,1053,陟,763,0,0,0,40,0,0,763,0.5155067,0.5417428612709045,0.0262361764907836
bge_m3_1024d,cn_def,437,歇,曷,欠,ROOT-5303,13,歇,947,0,0,0,1053,歇,916,0,0,0,31,0,0,916,0.4093523,0.4371913075447082,0.0278390049934387
bge_m3_1024d,cn_def,439,渴,曷,氵,ROOT-5303,185,味,716,0,0,0,1053,味,664,0,0,0,52,0,0,664,0.44456196,0.472137451171875,0.0275754928588867
bge_m3_1024d,cn_def,440,碣,曷,石,ROOT-5303,38,札,205,0,0,0,1053,章,282,0,0,0,-77,0,0,282,0.5028025,0.5325436592102051,0.0297411680221557
bge_m3_1024d,cn_def,441,竭,曷,立,ROOT-5303,3,匱,845,0,0,0,1053,匱,637,0,0,0,208,0,0,637,0.4619056,0.4641153812408447,0.0022097826004028
bge_m3_1024d,cn_def,443,葛,曷,艹,ROOT-5303,150,葛,161,0,0,0,1053,葛,268,0,0,0,-107,0,0,268,0.4870597,0.5435653924942017,0.0565056800842285
bge_m3_1024d,cn_def,444,褐,曷,衤,ROOT-5303,33,喬,905,0,0,0,1053,豐,846,0,0,0,59,0,0,846,0.4549714,0.5214394330978394,0.0664680302143096
bge_m3_1024d,cn_def,445,謁,曷,言,ROOT-5303,95,謁,692,0,0,0,1053,謁,671,0,0,0,21,0,0,671,0.51692647,0.5196672677993774,0.0027408003807067
bge_m3_1024d,cn_def,448,遏,曷,辶,ROOT-5303,51,絕,784,0,0,0,1053,絕,615,0,0,0,169,0,0,615,0.5006788,0.5161742568016052,0.015495479106903
bge_m3_1024d,cn_def,1158,佳,圭,亻,ROOT-572D,126,臧,738,0,0,0,1053,臧,730,0,0,0,8,0,0,730,0.50328314,0.5024889707565308,-0.0007941722869873
bge_m3_1024d,cn_def,1162,哇,圭,口,ROOT-572D,113,於,906,0,0,0,1053,斯,895,0,0,0,11,0,0,895,0.43155852,0.4681175649166107,0.0365590453147888
bge_m3_1024d,cn_def,1163,奎,圭,大,ROOT-572D,3,婁,20,0,0,0,1053,婁,23,0,0,0,-3,0,0,23,0.49890968,0.4841645359992981,-0.014745146036148
bge_m3_1024d,cn_def,1164,娃,圭,女,ROOT-572D,68,幼,1012,0,0,0,1053,幼,1008,0,0,0,4,0,0,1008,0.41366637,0.4132289886474609,-0.0004373788833618
bge_m3_1024d,cn_def,1165,恚,圭,心,ROOT-572D,43,冤,911,0,0,0,1053,冤,875,0,0,0,36,0,0,875,0.46522242,0.5188961625099182,0.0536737442016601
bge_m3_1024d,cn_def,1166,桂,圭,木,ROOT-572D,139,栗,853,0,0,0,1053,栗,963,0,0,0,-110,0,0,963,0.40157887,0.433531105518341,0.0319522321224212
bge_m3_1024d,cn_def,1167,珪,圭,王,ROOT-572D,44,濕,642,0,0,0,1053,濕,948,0,0,0,-306,0,0,948,0.45665285,0.4287838339805603,-0.0278690159320831
bge_m3_1024d,cn_def,1168,畦,圭,田,ROOT-572D,9,田,1031,0,0,0,1053,里,1031,0,0,0,0,0,0,1031,0.41337258,0.3895922899246216,-0.0237802863121032
bge_m3_1024d,cn_def,1169,蛙,圭,虫,ROOT-572D,76,魚,729,0,0,0,1053,魚,819,0,0,0,-90,0,0,819,0.43845925,0.4873455464839935,0.0488862991333007
bge_m3_1024d,cn_def,1170,街,圭,行,ROOT-572D,4,里,879,0,0,0,1053,邑,1038,0,0,0,-159,0,0,1038,0.42036635,0.2959333062171936,-0.1244330406188964
bge_m3_1024d,cn_def,1171,閨,圭,門,ROOT-572D,19,堂,982,0,0,0,1053,覺,961,0,0,0,21,0,0,961,0.39395177,0.3965584635734558,0.0026066899299621
bge_m3_1024d,cn_def,1172,鞋,圭,革,ROOT-572D,12,衣,336,0,0,0,1053,走,902,0,0,0,-566,0,0,902,0.50475717,0.4284486174583435,-0.0763085484504699
bge_m3_1024d,cn_def,1176,僥,堯,亻,ROOT-582F,126,幸,534,0,0,0,1053,幸,461,0,0,0,73,0,0,461,0.50771844,0.5150648355484009,0.0073463916778564
bge_m3_1024d,cn_def,1177,嬈,堯,女,ROOT-582F,68,旖,37,0,0,0,1053,旖,34,0,0,0,3,0,0,34,0.6637542,0.6888120770454407,0.0250578522682189
bge_m3_1024d,cn_def,1178,撓,堯,扌,ROOT-582F,138,絕,563,0,0,0,1053,窒,510,0,0,0,53,0,0,510,0.5370851,0.5476434826850891,0.0105583667755126
bge_m3_1024d,cn_def,1179,曉,堯,日,ROOT-582F,42,旦,45,0,0,0,1053,旦,28,0,0,0,17,0,0,28,0.63505924,0.6495323181152344,0.0144730806350708
bge_m3_1024d,cn_def,1180,橈,堯,木,ROOT-582F,139,舟,105,0,0,0,1053,舟,75,0,0,0,30,0,0,75,0.62014097,0.6481372714042664,0.0279963016510009
bge_m3_1024d,cn_def,1181,澆,堯,氵,ROOT-582F,185,沾,120,0,0,0,1053,即,93,0,0,0,27,0,0,93,0.584794,0.6176840662956238,0.0328900814056396
bge_m3_1024d,cn_def,1182,燒,堯,火,ROOT-582F,34,烝,152,0,0,0,1053,烝,241,0,0,0,-89,0,0,241,0.58341396,0.6204761862754822,0.0370622277259826
bge_m3_1024d,cn_def,1183,繞,堯,糸,ROOT-582F,97,繫,249,0,0,0,1053,逮,250,0,0,0,-1,0,0,250,0.63971806,0.659650981426239,0.0199329257011413
bge_m3_1024d,cn_def,1184,翹,堯,羽,ROOT-582F,13,陟,23,0,0,0,1053,陟,75,0,0,0,-52,0,0,75,0.7220749,0.6629974842071533,-0.0590774416923522
bge_m3_1024d,cn_def,1185,蟯,堯,虫,ROOT-582F,76,兔,437,0,0,0,1053,顥,344,0,0,0,93,0,0,344,0.5052388,0.611016035079956,0.1057772636413574
bge_m3_1024d,cn_def,1186,遶,堯,辶,ROOT-582F,51,折,705,0,0,0,1053,折,827,0,0,0,-122,0,0,827,0.5066214,0.4580727219581604,-0.0485486984252929
bge_m3_1024d,cn_def,1187,鐃,堯,釒,ROOT-582F,85,咎,489,0,0,0,1053,弭,433,0,0,0,56,0,0,433,0.46274796,0.4963918030261993,0.0336438417434692
bge_m3_1024d,cn_def,1188,饒,堯,飠,ROOT-582F,21,禁,724,0,0,0,1053,禁,624,0,0,0,100,0,0,624,0.49486166,0.4981311559677124,0.0032694935798645
bge_m3_1024d,cn_def,1189,驍,堯,馬,ROOT-582F,34,賁,97,0,0,0,1053,賁,140,0,0,0,-43,0,0,140,0.6162082,0.5932908058166504,-0.0229173898696899
bge_m3_1024d,cn_def,1536,冶,台,冫,ROOT-382F,5,戎,815,0,0,0,1053,戎,634,0,0,0,181,0,0,634,0.46601874,0.4517872333526611,-0.0142315030097961
bge_m3_1024d,cn_def,1537,始,台,女,ROOT-382F,68,原,768,0,0,0,1053,原,730,0,0,0,38,0,0,730,0.47280976,0.4589089453220367,-0.0139008164405822
bge_m3_1024d,cn_def,1538,怠,台,心,ROOT-382F,43,魯,867,0,0,0,1053,魯,873,0,0,0,-6,0,0,873,0.491593,0.5080817937850952,0.0164887905120849
bge_m3_1024d,cn_def,1539,怡,台,忄,ROOT-382F,79,樂,642,0,0,0,1053,欣,599,0,0,0,43,0,0,599,0.53889155,0.5470554232597351,0.0081638693809509
bge_m3_1024d,cn_def,1540,殆,台,歹,ROOT-382F,10,畏,862,0,0,0,1053,畏,683,0,0,0,179,0,0,683,0.47380495,0.5181505680084229,0.0443456172943115
bge_m3_1024d,cn_def,1541,治,台,氵,ROOT-382F,185,宰,688,0,0,0,1053,宰,571,0,0,0,117,0,0,571,0.5037827,0.5123608112335205,0.0085781216621398
bge_m3_1024d,cn_def,1542,笞,台,竹,ROOT-382F,60,卸,1013,0,0,0,1053,伐,920,0,0,0,93,0,0,920,0.40936118,0.4802073240280151,0.070846140384674
bge_m3_1024d,cn_def,1543,紿,台,糸,ROOT-382F,97,欺,456,0,0,0,1053,欺,293,0,0,0,163,0,0,293,0.56419677,0.5876848697662354,0.0234881043434143
bge_m3_1024d,cn_def,1544,胎,台,肉,ROOT-382F,69,胃,913,0,0,0,1053,名,714,0,0,0,199,0,0,714,0.42607927,0.5038367509841919,0.0777574777603149
bge_m3_1024d,cn_def,1545,苔,台,艹,ROOT-382F,150,朮,629,0,0,0,1053,朮,653,0,0,0,-24,0,0,653,0.44365436,0.5201171636581421,0.0764628052711486
bge_m3_1024d,cn_def,1546,貽,台,貝,ROOT-382F,28,畀,583,0,0,0,1053,畀,471,0,0,0,112,0,0,471,0.54561794,0.59879070520401,0.053172767162323
bge_m3_1024d,cn_def,1547,邰,台,阝,ROOT-382F,47,滕,966,0,0,0,1053,吳,853,0,0,0,113,0,0,853,0.33917293,0.3839257359504699,0.0447528064250946
bge_m3_1024d,cn_def,1548,颱,台,風,ROOT-382F,3,炎,852,0,0,0,1053,立,783,0,0,0,69,0,0,783,0.31223974,0.334939032793045,0.0226992964744567
bge_m3_1024d,cn_def,1549,飴,台,飠,ROOT-382F,21,秀,936,0,0,0,1053,產,706,0,0,0,230,0,0,706,0.39904365,0.4780936241149902,0.0790499746799469
bge_m3_1024d,cn_def,1550,駘,台,馬,ROOT-382F,34,魯,848,0,0,0,1053,亞,619,0,0,0,229,0,0,619,0.38953888,0.4484077095985412,0.0588688254356384
bge_m3_1024d,cn_def,1579,啻,帝,口,ROOT-5E1D,113,其,901,0,0,0,1053,兮,735,0,0,0,166,0,0,735,0.3844742,0.4114728569984436,0.0269986689090728
bge_m3_1024d,cn_def,1580,啼,帝,口,ROOT-5E1D,113,音,662,0,0,0,1053,辱,550,0,0,0,112,0,0,550,0.4873739,0.547325611114502,0.0599517226219177
bge_m3_1024d,cn_def,1581,締,帝,糸,ROOT-5E1D,97,雜,369,0,0,0,1053,雜,334,0,0,0,35,0,0,334,0.5996939,0.6082074642181396,0.0085135698318481
bge_m3_1024d,cn_def,1582,蒂,帝,艹,ROOT-5E1D,150,毛,875,0,0,0,1053,肩,662,0,0,0,213,0,0,662,0.4474964,0.5158886313438416,0.0683922171592712
bge_m3_1024d,cn_def,1583,諦,帝,言,ROOT-5E1D,95,制,225,0,0,0,1053,侖,144,0,0,0,81,0,0,144,0.6052183,0.6154632568359375,0.0102449655532836
bge_m3_1024d,cn_def,1584,蹄,帝,𧾷,ROOT-5E1D,47,毳,1037,0,0,0,1053,毳,1016,0,0,0,21,0,0,1016,0.34199035,0.3646847605705261,0.0226944088935852
bge_m3_1024d,cn_def,2028,欄,闌,木,ROOT-67EC,139,監,63,0,0,0,1053,監,222,0,0,0,-159,0,0,222,0.58193004,0.5414719581604004,-0.0404580831527709
bge_m3_1024d,cn_def,2029,瀾,闌,氵,ROOT-67EC,185,咎,128,0,0,0,1053,咎,143,0,0,0,-15,0,0,143,0.6053456,0.6136156320571899,0.0082700252532958
bge_m3_1024d,cn_def,2030,爛,闌,火,ROOT-67EC,34,肴,577,0,0,0,1053,柔,652,0,0,0,-75,0,0,652,0.5154704,0.5226830244064331,0.0072126388549804
bge_m3_1024d,cn_def,2031,蘭,闌,艹,ROOT-67EC,150,蘭,395,0,0,0,1053,蘭,629,0,0,0,-234,0,0,629,0.49240118,0.536918580532074,0.0445173978805542
bge_m3_1024d,cn_def,2305,倩,青,亻,ROOT-9752,126,旖,255,0,0,0,1053,旖,210,0,0,0,45,0,0,210,0.6037889,0.6034576892852783,-0.0003312230110168
bge_m3_1024d,cn_def,2306,情,青,忄,ROOT-9752,79,意,161,0,0,0,1053,產,83,0,0,0,78,0,0,83,0.542165,0.5444011688232422,0.0022361874580383
bge_m3_1024d,cn_def,2307,晴,青,日,ROOT-9752,42,風,34,0,0,0,1053,風,12,0,0,0,22,0,0,12,0.583825,0.59539794921875,0.0115729570388793
bge_m3_1024d,cn_def,2308,猜,青,犭,ROOT-9752,27,意,593,0,0,0,1053,意,475,0,0,0,118,0,0,475,0.56066155,0.5653977394104004,0.0047361850738525
bge_m3_1024d,cn_def,2309,睛,青,目,ROOT-9752,31,面,549,0,0,0,1053,面,435,0,0,0,114,0,0,435,0.52535343,0.5914441347122192,0.066090703010559
bge_m3_1024d,cn_def,2310,精,青,米,ROOT-9752,16,廣,35,0,0,0,1053,廣,100,0,0,0,-65,0,0,100,0.67980635,0.647628664970398,-0.0321776866912841
bge_m3_1024d,cn_def,2311,菁,青,艹,ROOT-9752,150,臧,279,0,0,0,1053,臧,587,0,0,0,-308,0,0,587,0.5975159,0.5200459957122803,-0.0774698853492736
bge_m3_1024d,cn_def,2312,蜻,青,虫,ROOT-9752,76,豬,106,0,0,0,1053,豬,132,0,0,0,-26,0,0,132,0.5444272,0.6339391469955444,0.0895119309425354
bge_m3_1024d,cn_def,2313,請,青,言,ROOT-9752,95,貢,225,0,0,0,1053,廷,92,0,0,0,133,0,0,92,0.49789023,0.5113195180892944,0.0134292840957641
bge_m3_1024d,cn_def,2314,靖,青,立,ROOT-9752,3,寧,210,0,0,0,1053,寧,98,0,0,0,112,0,0,98,0.5981685,0.5393824577331543,-0.0587860345840454
bge_m3_1024d,cn_def,2315,靚,青,見,ROOT-9752,3,晃,327,0,0,0,1053,晃,156,0,0,0,171,0,0,156,0.6084217,0.5740565657615662,-0.0343651175498962
bge_m3_1024d,cn_def,2317,鯖,青,魚,ROOT-9752,19,龜,52,0,0,0,1053,晃,40,0,0,0,12,0,0,40,0.49804598,0.6059170961380005,0.1078711152076721
bge_m3_1024d,cn_def,2725,涂,余,氵,ROOT-4F59,185,涂,931,0,0,0,1053,涂,806,0,0,0,125,0,0,806,0.4484255,0.4664235115051269,0.0179980099201202
bge_m3_1024d,cn_def,2726,徐,余,彳,ROOT-4F59,13,冉,666,0,0,0,1053,冉,603,0,0,0,63,0,0,603,0.5255937,0.5021682977676392,-0.0234254002571105
bge_m3_1024d,cn_def,2727,斜,余,斗,ROOT-4F59,4,仄,780,0,0,0,1053,仄,1011,0,0,0,-231,0,0,1011,0.5320053,0.3968700170516968,-0.1351352930068969
bge_m3_1024d,cn_def,2729,畬,余,田,ROOT-4F59,9,農,610,0,0,0,1053,半,422,0,0,0,188,0,0,422,0.48899466,0.5108246207237244,0.0218299627304077
bge_m3_1024d,cn_def,2730,荼,余,艹,ROOT-4F59,150,艾,848,0,0,0,1053,困,762,0,0,0,86,0,0,762,0.41650105,0.4860563278198242,0.0695552825927734
bge_m3_1024d,cn_def,2731,蜍,余,虫,ROOT-4F59,76,黽,673,0,0,0,1053,亢,523,0,0,0,150,0,0,523,0.41439205,0.4888182580471039,0.0744262039661407
bge_m3_1024d,cn_def,2732,途,余,辶,ROOT-4F59,51,軌,668,0,0,0,1053,道,723,0,0,0,-55,0,0,723,0.5263147,0.5184088349342346,-0.0079058408737182
bge_m3_1024d,cn_def,2733,除,余,阝,ROOT-4F59,47,除,596,0,0,0,1053,除,487,0,0,0,109,0,0,487,0.4877435,0.514693021774292,0.0269495248794555
bge_m3_1024d,cn_def,2734,餘,余,飠,ROOT-4F59,21,愈,635,0,0,0,1053,愈,359,0,0,0,276,0,0,359,0.54315794,0.5769671201705933,0.0338091850280761
bge_m3_1024d,cn_def,2919,娠,辰,女,ROOT-8FB0,68,育,921,0,0,0,1053,厭,865,0,0,0,56,0,0,865,0.45905396,0.4913708567619324,0.0323168933391571
bge_m3_1024d,cn_def,2920,宸,辰,宀,ROOT-8FB0,19,奧,683,0,0,0,1053,奧,216,0,0,0,467,0,0,216,0.485525,0.5516759753227234,0.066150963306427
bge_m3_1024d,cn_def,2921,振,辰,扌,ROOT-8FB0,138,拾,764,0,0,0,1053,陟,717,0,0,0,47,0,0,717,0.49951142,0.5332379341125488,0.0337265133857727
bge_m3_1024d,cn_def,2922,晨,辰,日,ROOT-8FB0,42,晨,967,0,0,0,1053,晨,970,0,0,0,-3,0,0,970,0.40238947,0.4530276954174042,0.0506382286548614
bge_m3_1024d,cn_def,2923,脣,辰,肉,ROOT-8FB0,69,脣,890,0,0,0,1053,脣,926,0,0,0,-36,0,0,926,0.4281532,0.4552277326583862,0.0270745456218719
bge_m3_1024d,cn_def,2924,蜃,辰,虫,ROOT-8FB0,76,丕,835,0,0,0,1053,巨,850,0,0,0,-15,0,0,850,0.47440723,0.4803747236728668,0.0059674978256225
bge_m3_1024d,cn_def,2925,賑,辰,貝,ROOT-8FB0,28,畀,856,0,0,0,1053,亟,851,0,0,0,5,0,0,851,0.48006138,0.4720048904418945,-0.008056491613388
bge_m3_1024d,cn_def,2926,震,辰,雨,ROOT-8FB0,21,發,743,0,0,0,1053,打,755,0,0,0,-12,0,0,755,0.46708894,0.4705313444137573,0.0034424066543579
bge_m3_1024d,cn_def,3158,掂,店,扌,ROOT-5360,138,量,404,0,0,0,1053,量,497,0,0,0,-93,0,0,497,0.5340689,0.5338531732559204,-0.0002157092094421
bge_m3_1024d,cn_def,3159,惦,店,忄,ROOT-5360,79,念,707,0,0,0,1053,念,612,0,0,0,95,0,0,612,0.5402421,0.5771023035049438,0.0368602275848388
bge_m3_1024d,en_def_translated_cn_def,31,儐,賓,亻,ROOT-219CD,126,王,10,0,0,1,1053,王,11,0,0,0,-1,0,0,11,0.6858876,0.6866123676300049,0.0007247924804687
bge_m3_1024d,en_def_translated_cn_def,32,嬪,賓,女,ROOT-219CD,68,士,597,0,0,0,1053,士,665,0,0,0,-68,0,0,665,0.49635392,0.5180693864822388,0.0217154622077941
bge_m3_1024d,en_def_translated_cn_def,33,擯,賓,扌,ROOT-219CD,138,冤,304,0,0,0,1053,乏,180,0,0,0,124,0,0,180,0.58426476,0.5760529041290283,-0.0082118511199951
bge_m3_1024d,en_def_translated_cn_def,34,檳,賓,木,ROOT-219CD,139,朮,1013,0,0,0,1053,朮,980,0,0,0,33,0,0,980,0.33705693,0.3938725292682647,0.0568155944347381
bge_m3_1024d,en_def_translated_cn_def,35,殯,賓,歹,ROOT-219CD,10,介,695,0,0,0,1053,平,293,0,0,0,402,0,0,293,0.37763762,0.4020344614982605,0.0243968367576599
bge_m3_1024d,en_def_translated_cn_def,36,濱,賓,氵,ROOT-219CD,185,浦,790,0,0,0,1053,浦,687,0,0,0,103,0,0,687,0.5025453,0.5674718618392944,0.0649265646934509
bge_m3_1024d,en_def_translated_cn_def,37,繽,賓,糸,ROOT-219CD,97,亂,906,0,0,0,1053,昌,780,0,0,0,126,0,0,780,0.42975584,0.4777949452400207,0.0480391085147857
bge_m3_1024d,en_def_translated_cn_def,38,鬢,賓,髟,ROOT-219CD,10,眉,657,0,0,0,1053,眉,585,0,0,0,72,0,0,585,0.48926976,0.548336386680603,0.0590666234493255
bge_m3_1024d,en_def_translated_cn_def,252,刻,亥,刂,ROOT-4EA5,19,翰,665,0,0,0,1053,相,626,0,0,0,39,0,0,626,0.5530335,0.5416562557220459,-0.011377215385437
bge_m3_1024d,en_def_translated_cn_def,253,劾,亥,力,ROOT-4EA5,15,干,774,0,0,0,1053,干,744,0,0,0,30,0,0,744,0.4485402,0.4388757050037384,-0.0096645057201385
bge_m3_1024d,en_def_translated_cn_def,254,咳,亥,口,ROOT-4EA5,113,欠,756,0,0,0,1053,風,580,0,0,0,176,0,0,580,0.37401026,0.4241817593574524,0.0501714944839477
bge_m3_1024d,en_def_translated_cn_def,255,垓,亥,土,ROOT-4EA5,65,蕭,687,0,0,0,1053,蕭,709,0,0,0,-22,0,0,709,0.51035535,0.5199783444404602,0.0096229910850524
bge_m3_1024d,en_def_translated_cn_def,256,孩,亥,子,ROOT-4EA5,5,童,714,0,0,0,1053,相,904,0,0,0,-190,0,0,904,0.50599766,0.5297768115997314,0.0237791538238525
bge_m3_1024d,en_def_translated_cn_def,257,核,亥,木,ROOT-4EA5,139,果,506,0,0,0,1053,守,797,0,0,0,-291,0,0,797,0.4598158,0.4417377412319183,-0.0180780589580535
bge_m3_1024d,en_def_translated_cn_def,258,欬,亥,欠,ROOT-4EA5,13,臭,755,0,0,0,1053,臭,776,0,0,0,-21,0,0,776,0.50306094,0.5211790800094604,0.018118143081665
bge_m3_1024d,en_def_translated_cn_def,259,該,亥,言,ROOT-4EA5,95,宜,870,0,0,0,1053,宜,803,0,0,0,67,0,0,803,0.47666007,0.4977978765964508,0.0211378037929534
bge_m3_1024d,en_def_translated_cn_def,260,閡,亥,門,ROOT-4EA5,19,絕,910,0,0,0,1053,絕,814,0,0,0,96,0,0,814,0.48411855,0.4938622713088989,0.009743720293045
bge_m3_1024d,en_def_translated_cn_def,261,頦,亥,頁,ROOT-4EA5,27,領,739,0,0,0,1053,翼,684,0,0,0,55,0,0,684,0.5073382,0.5353351831436157,0.0279969573020935
bge_m3_1024d,en_def_translated_cn_def,262,駭,亥,馬,ROOT-4EA5,34,迷,912,0,0,0,1053,迷,942,0,0,0,-30,0,0,942,0.43942034,0.4453445971012115,0.005924254655838
bge_m3_1024d,en_def_translated_cn_def,263,骸,亥,骨,ROOT-4EA5,5,品,931,0,0,0,1053,品,851,0,0,0,80,0,0,851,0.46808207,0.5332953333854675,0.0652132630348205
bge_m3_1024d,en_def_translated_cn_def,398,完,元,宀,ROOT-5143,19,完,226,0,0,0,1053,完,145,0,0,0,81,0,0,145,0.634943,0.6188637018203735,-0.016079306602478
bge_m3_1024d,en_def_translated_cn_def,404,沅,元,氵,ROOT-5143,185,沮,305,0,0,0,1053,贛,235,0,0,0,70,0,0,235,0.59671426,0.6368553638458252,0.0401411056518554
bge_m3_1024d,en_def_translated_cn_def,405,玩,元,王,ROOT-5143,44,敖,445,0,0,0,1053,敖,394,0,0,0,51,0,0,394,0.62635463,0.6179785132408142,-0.008376121520996
bge_m3_1024d,en_def_translated_cn_def,407,阮,元,阝,ROOT-5143,47,彭,481,0,0,0,1053,彭,398,0,0,0,83,0,0,398,0.56118315,0.5820142030715942,0.0208310484886169
