model,channel,edge_row,derived_character,anchor_character,relation_class,anchor_family,training_family_count,baseline_predicted_character,baseline_true_character_rank,baseline_top1_correct,baseline_top5_correct,baseline_top10_correct,candidate_character_count,offset_predicted_character,offset_true_character_rank,offset_top1_correct,offset_top5_correct,offset_top10_correct,rank_change,top1_rescued,top1_lost,true_rank_unrestricted,candidate_count_unrestricted,true_rank_layout_constrained,candidate_count_layout_constrained
bge_m3_1024d,cn_def,95,瞎,害,目,ROOT-5BB3,31,殃,1811,0,0,0,6039,殃,214,0,0,0,1597,0,0,214,6039,134.0,3732
bge_m3_1024d,cn_def,97,轄,害,車,ROOT-5BB3,24,殃,4993,0,0,0,6039,殃,2067,0,0,0,2926,0,0,2067,6039,1316.0,3732
bge_m3_1024d,cn_def,98,蚌,丰,虫,ROOT-4E30,76,頎,5662,0,0,0,6039,婷,1306,0,0,0,4356,0,0,1306,6039,840.0,3732
bge_m3_1024d,cn_def,99,患,串,心,ROOT-4E32,43,拆,1773,0,0,0,6039,摟,333,0,0,0,1440,0,0,333,6039,68.0,1467
bge_m3_1024d,cn_def,100,住,主,亻,ROOT-4E36,126,魁,784,0,0,0,6039,魁,695,0,0,0,89,0,0,695,6039,387.0,3732
bge_m3_1024d,cn_def,101,柱,主,木,ROOT-4E36,139,魁,5251,0,0,0,6039,名,3510,0,0,0,1741,0,0,3510,6039,2127.0,3732
bge_m3_1024d,cn_def,102,注,主,氵,ROOT-4E36,185,魁,2114,0,0,0,6039,魁,1143,0,0,0,971,0,0,1143,6039,681.0,3732
bge_m3_1024d,cn_def,103,註,主,言,ROOT-4E36,95,魁,200,0,0,0,6039,勢,122,0,0,0,78,0,0,122,6039,69.0,3732
bge_m3_1024d,cn_def,104,駐,主,馬,ROOT-4E36,34,魁,1464,0,0,0,6039,魁,1258,0,0,0,206,0,0,1258,6039,729.0,3732
bge_m3_1024d,cn_def,105,麈,主,鹿,ROOT-4E36,3,魁,5740,0,0,0,6039,名,285,0,0,0,5455,0,0,285,6039,16.0,232
bge_m3_1024d,cn_def,106,疼,冬,疒,ROOT-2053E,46,滄,145,0,0,0,6039,淒,72,0,0,0,73,0,0,72,6039,18.0,232
bge_m3_1024d,cn_def,107,終,冬,糸,ROOT-2053E,97,滄,155,0,0,0,6039,冽,244,0,0,0,-89,0,0,244,6039,158.0,3732
bge_m3_1024d,cn_def,110,妙,少,女,ROOT-4E3F,68,多,3627,0,0,0,6039,多,2855,0,0,0,772,0,0,2855,6039,1750.0,3732
bge_m3_1024d,cn_def,111,抄,少,扌,ROOT-4E3F,138,多,3398,0,0,0,6039,多,2631,0,0,0,767,0,0,2631,6039,1656.0,3732
bge_m3_1024d,cn_def,112,杪,少,木,ROOT-4E3F,139,多,2382,0,0,0,6039,多,519,0,0,0,1863,0,0,519,6039,282.0,3732
bge_m3_1024d,cn_def,113,炒,少,火,ROOT-4E3F,34,多,5473,0,0,0,6039,多,2454,0,0,0,3019,0,0,2454,6039,1498.0,3732
bge_m3_1024d,cn_def,114,砂,少,石,ROOT-4E3F,38,多,1302,0,0,0,6039,多,127,0,0,0,1175,0,0,127,6039,68.0,3732
bge_m3_1024d,cn_def,115,秒,少,禾,ROOT-4E3F,24,多,3238,0,0,0,6039,多,439,0,0,0,2799,0,0,439,6039,239.0,3732
bge_m3_1024d,cn_def,116,紗,少,糸,ROOT-4E3F,97,多,1829,0,0,0,6039,多,99,0,0,0,1730,0,0,99,6039,53.0,3732
bge_m3_1024d,cn_def,117,鈔,少,釒,ROOT-4E3F,85,多,885,0,0,0,6039,多,495,0,0,0,390,0,0,495,6039,280.0,3732
bge_m3_1024d,cn_def,118,涎,延,氵,ROOT-4E3F,185,引,2104,0,0,0,6039,引,1171,0,0,0,933,0,0,1171,6039,788.0,3732
bge_m3_1024d,cn_def,119,筵,延,竹,ROOT-4E3F,60,引,1809,0,0,0,6039,引,1758,0,0,0,51,0,0,1758,6039,382.0,1467
bge_m3_1024d,cn_def,120,蜒,延,虫,ROOT-4E3F,76,引,3884,0,0,0,6039,引,2610,0,0,0,1274,0,0,2610,6039,1695.0,3732
bge_m3_1024d,cn_def,121,誕,延,言,ROOT-4E3F,95,引,2067,0,0,0,6039,引,1523,0,0,0,544,0,0,1523,6039,988.0,3732
bge_m3_1024d,cn_def,122,洩,曳,氵,ROOT-4E3F,185,扯,795,0,0,0,6039,扯,255,0,0,0,540,0,0,255,6039,184.0,3732
bge_m3_1024d,cn_def,123,刈,乂,刂,ROOT-4E42,19,整,289,0,0,0,6039,整,11,0,0,0,278,0,0,11,6039,6.0,3732
bge_m3_1024d,cn_def,124,艾,乂,艹,ROOT-4E42,150,整,2705,0,0,0,6039,整,58,0,0,0,2647,0,0,58,6039,26.0,1467
bge_m3_1024d,cn_def,125,仍,乃,亻,ROOT-4E43,126,汝,1238,0,0,0,6039,汝,1129,0,0,0,109,0,0,1129,6039,668.0,3732
bge_m3_1024d,cn_def,126,孕,乃,子,ROOT-4E43,5,汝,1125,0,0,0,6039,汝,321,0,0,0,804,0,0,321,6039,73.0,1467
bge_m3_1024d,cn_def,127,扔,乃,扌,ROOT-4E43,138,汝,415,0,0,0,6039,汝,70,0,0,0,345,0,0,70,6039,55.0,3732
bge_m3_1024d,cn_def,129,灸,久,火,ROOT-4E45,34,遐,4238,0,0,0,6039,迢,3883,0,0,0,355,0,0,3883,6039,915.0,1467
bge_m3_1024d,cn_def,130,玖,久,王,ROOT-4E45,44,遐,3824,0,0,0,6039,迢,709,0,0,0,3115,0,0,709,6039,445.0,3732
bge_m3_1024d,cn_def,131,疚,久,疒,ROOT-4E45,46,遐,654,0,0,0,6039,迢,406,0,0,0,248,0,0,406,6039,33.0,232
bge_m3_1024d,cn_def,133,詫,宅,言,ROOT-4E47,95,寓,2693,0,0,0,6039,寓,2444,0,0,0,249,0,0,2444,6039,1472.0,3732
bge_m3_1024d,cn_def,134,伊,尹,亻,ROOT-5C39,126,郎,4591,0,0,0,6039,郎,4457,0,0,0,134,0,0,4457,6039,2712.0,3732
bge_m3_1024d,cn_def,135,君,尹,口,ROOT-5C39,113,郎,49,0,0,0,6039,郎,63,0,0,0,-14,0,0,63,6039,5.0,232
bge_m3_1024d,cn_def,136,窘,君,穴,ROOT-5C39,16,王,868,0,0,0,6039,王,413,0,0,0,455,0,0,413,6039,137.0,1467
bge_m3_1024d,cn_def,137,裙,君,衤,ROOT-5C39,33,王,3709,0,0,0,6039,霸,100,0,0,0,3609,0,0,100,6039,48.0,3732
bge_m3_1024d,cn_def,138,槌,追,木,ROOT-200A4,139,續,3897,0,0,0,6039,續,1022,0,0,0,2875,0,0,1022,6039,658.0,3732
bge_m3_1024d,cn_def,139,縋,追,糸,ROOT-200A4,97,續,1430,0,0,0,6039,續,337,0,0,0,1093,0,0,337,6039,219.0,3732
bge_m3_1024d,cn_def,140,鎚,追,釒,ROOT-200A4,85,續,3212,0,0,0,6039,續,332,0,0,0,2880,0,0,332,6039,226.0,3732
bge_m3_1024d,cn_def,141,扎,乙,扌,ROOT-4E59,138,丙,350,0,0,0,6039,丙,142,0,0,0,208,0,0,142,6039,84.0,3732
bge_m3_1024d,cn_def,142,札,乙,木,ROOT-4E59,139,丙,5645,0,0,0,6039,丙,3840,0,0,0,1805,0,0,3840,6039,2336.0,3732
bge_m3_1024d,cn_def,143,紮,札,糸,ROOT-4E59,97,牘,3092,0,0,0,6039,牘,2924,0,0,0,168,0,0,2924,6039,720.0,1467
bge_m3_1024d,cn_def,144,軋,乙,車,ROOT-4E59,24,丙,1674,0,0,0,6039,丙,1332,0,0,0,342,0,0,1332,6039,793.0,3732
bge_m3_1024d,cn_def,145,仇,九,亻,ROOT-4E5D,126,七,1086,0,0,0,6039,七,820,0,0,0,266,0,0,820,6039,474.0,3732
bge_m3_1024d,cn_def,146,尻,九,尸,ROOT-4E5D,6,七,5686,0,0,0,6039,七,5421,0,0,0,265,0,0,5421,6039,211.0,232
bge_m3_1024d,cn_def,147,旭,九,日,ROOT-4E5D,42,七,2640,0,0,0,6039,七,102,0,0,0,2538,0,0,102,6039,3.0,177
bge_m3_1024d,cn_def,148,究,九,穴,ROOT-4E5D,16,七,1472,0,0,0,6039,七,988,0,0,0,484,0,0,988,6039,252.0,1467
bge_m3_1024d,cn_def,149,軌,九,車,ROOT-4E5D,24,七,2721,0,0,0,6039,七,502,0,0,0,2219,0,0,502,6039,321.0,3732
bge_m3_1024d,cn_def,150,匭,軌,匚,ROOT-4E5D,4,跡,961,0,0,0,6039,跡,70,0,0,0,891,0,0,70,6039,1.0,15
bge_m3_1024d,cn_def,152,鳩,九,鳥,ROOT-4E5D,26,七,4929,0,0,0,6039,七,92,0,0,0,4837,0,0,92,6039,64.0,3732
bge_m3_1024d,cn_def,153,地,也,土,ROOT-4E5F,65,矣,70,0,0,0,6039,矣,98,0,0,0,-28,0,0,98,6039,58.0,3732
bge_m3_1024d,cn_def,154,弛,也,弓,ROOT-4E5F,8,矣,1532,0,0,0,6039,矣,981,0,0,0,551,0,0,981,6039,628.0,3732
bge_m3_1024d,cn_def,155,施,也,㫃,ROOT-4E5F,6,矣,1673,0,0,0,6039,矣,2397,0,0,0,-724,0,0,2397,6039,,232
bge_m3_1024d,cn_def,156,池,也,氵,ROOT-4E5F,185,矣,4016,0,0,0,6039,矣,1292,0,0,0,2724,0,0,1292,6039,866.0,3732
bge_m3_1024d,cn_def,157,迆,也,辶,ROOT-4E5F,51,矣,3796,0,0,0,6039,矣,2960,0,0,0,836,0,0,2960,6039,121.0,177
bge_m3_1024d,cn_def,158,馳,也,馬,ROOT-4E5F,34,矣,2570,0,0,0,6039,矣,161,0,0,0,2409,0,0,161,6039,100.0,3732
bge_m3_1024d,cn_def,159,序,予,广,ROOT-4E88,24,吾,1826,0,0,0,6039,吾,1990,0,0,0,-164,0,0,1990,6039,75.0,232
bge_m3_1024d,cn_def,160,抒,予,扌,ROOT-4E88,138,吾,770,0,0,0,6039,撕,652,0,0,0,118,0,0,652,6039,427.0,3732
bge_m3_1024d,cn_def,161,杼,予,木,ROOT-4E88,139,吾,5745,0,0,0,6039,牋,5301,0,0,0,444,0,0,5301,6039,3290.0,3732
bge_m3_1024d,cn_def,162,紓,予,糸,ROOT-4E88,97,吾,1426,0,0,0,6039,撕,1776,0,0,0,-350,0,0,1776,6039,1073.0,3732
bge_m3_1024d,cn_def,165,墅,野,土,ROOT-4E88,65,甸,155,0,0,0,6039,甸,106,0,0,0,49,0,0,106,6039,26.0,1467
bge_m3_1024d,cn_def,166,預,予,頁,ROOT-4E88,27,吾,158,0,0,0,6039,吾,226,0,0,0,-68,0,0,226,6039,134.0,3732
bge_m3_1024d,cn_def,167,膩,貳,肉,ROOT-5F0D,69,壹,3745,0,0,0,6039,壹,650,0,0,0,3095,0,0,650,6039,397.0,3732
bge_m3_1024d,cn_def,168,次,二,欠,ROOT-4E8C,13,四,257,0,0,0,6039,四,538,0,0,0,-281,0,0,538,6039,314.0,3732
bge_m3_1024d,cn_def,169,咨,次,口,ROOT-4E8C,113,翌,3498,0,0,0,6039,翌,3533,0,0,0,-35,0,0,3533,6039,826.0,1467
bge_m3_1024d,cn_def,170,姿,次,女,ROOT-4E8C,68,翌,272,0,0,0,6039,翌,79,0,0,0,193,0,0,79,6039,20.0,1467
bge_m3_1024d,cn_def,171,恣,次,心,ROOT-4E8C,43,翌,1450,0,0,0,6039,翌,1037,0,0,0,413,0,0,1037,6039,232.0,1467
bge_m3_1024d,cn_def,172,瓷,次,瓦,ROOT-4E8C,3,翌,4456,0,0,0,6039,甌,1065,0,0,0,3391,0,0,1065,6039,283.0,1467
bge_m3_1024d,cn_def,173,茨,次,艹,ROOT-4E8C,150,翌,4769,0,0,0,6039,翌,2792,0,0,0,1977,0,0,2792,6039,758.0,1467
bge_m3_1024d,cn_def,174,資,次,貝,ROOT-4E8C,28,翌,913,0,0,0,6039,翌,179,0,0,0,734,0,0,179,6039,37.0,1467
bge_m3_1024d,cn_def,175,趑,次,走,ROOT-4E8C,7,翌,3569,0,0,0,6039,翌,2341,0,0,0,1228,0,0,2341,6039,120.0,177
bge_m3_1024d,cn_def,176,吁,于,口,ROOT-4E8E,113,乎,2958,0,0,0,6039,乎,717,0,0,0,2241,0,0,717,6039,446.0,3732
bge_m3_1024d,cn_def,177,宇,于,宀,ROOT-4E8E,19,乎,4204,0,0,0,6039,乎,2804,0,0,0,1400,0,0,2804,6039,645.0,1467
bge_m3_1024d,cn_def,178,汙,于,氵,ROOT-4E8E,185,乎,1787,0,0,0,6039,乎,1195,0,0,0,592,0,0,1195,6039,781.0,3732
bge_m3_1024d,cn_def,179,盂,于,皿,ROOT-4E8E,8,乎,2353,0,0,0,6039,乎,41,0,0,0,2312,0,0,41,6039,20.0,1467
bge_m3_1024d,cn_def,180,紆,于,糸,ROOT-4E8E,97,乎,1115,0,0,0,6039,乎,347,0,0,0,768,0,0,347,6039,203.0,3732
bge_m3_1024d,cn_def,181,芋,于,艹,ROOT-4E8E,150,乎,2618,0,0,0,6039,乎,98,0,0,0,2520,0,0,98,6039,31.0,1467
bge_m3_1024d,cn_def,182,訏,于,言,ROOT-4E8E,95,乎,2094,0,0,0,6039,乎,2732,0,0,0,-638,0,0,2732,6039,1699.0,3732
bge_m3_1024d,cn_def,183,迂,于,辶,ROOT-4E8E,51,乎,3461,0,0,0,6039,乎,2281,0,0,0,1180,0,0,2281,6039,103.0,177
